date,ini_time,sw_type,band_type,ongoing,curvature,0_trof_time,4_inext,3_inext,2_inext,1_inext,0_inext,1_inext,2_inext,3_inext,4_inext,delta(4by2),delta(2by0),delta(0by2),delta(2by4),delta(4 by 0),delta(0by4),delta(4by1),delta(1by1),delta(1by4),delta(4by3),delta(3by2),delta(2by1),delta(1by0),delta(1by0),delta(2-1),delta(3-2),delta(4-3),4_angle,3_angle,2_angle,1_angle,0_angle,1_angle,2_angle,3_angle,4_angle,4_width,3_width,2_width,1_width,0_width,1_width,2_width,3_width,4_width,4_move,3_move,2_move,1_move,0_move,1_move,2_move,3_move,4_move,4_str,2_str,0_str,2_str,4_str,d(2-4)_width,d(0-2)_width,d(2-0)_width,d(4-2)_width,d(2-4)_move,d(0-2)_move,d(2-0)_move,d(4-2)_move
15/12/2016,9,2,1,1,1,12,284.1,268.6,270.4,281.8,280.5,297.9,0,0,0,-15.5,10.1,-280.5,0,-3.6,-280.5,-2.3,16.1,-297.9,-15.5,1.8,11.4,-1.3,17.4,-297.9,0,0,290,290,290,280,290,290,280,280,280,44.5,40.6,44.7,31.5,57.4,48.2,34.9,30.2,46.4,54.9,52.5,51.3,40.3,22,-10.4,-34.2,-40.3,-17.1,2,1,1,3,1,0.2,12.7,-22.5,11.5,-3.6,-29.3,-56.2,17.1
19/12/2016,18,5,1,1,0,21,0,32,64.9,73,77.2,90,92.4,104.7,112.7,32,12.3,15.2,8,77.2,35.5,73,17,22.7,32,32.9,8.1,4.2,12.8,2.4,12.3,8,260,260,265,260,260,275,265,260,270,48.9,49.3,39.1,50.8,62.8,60.4,30.4,40.6,63.6,97,97.7,80.6,76.3,78.1,86.7,88.5,79.4,74.5,1,1,1,3,2,-9.8,23.7,-32.4,33.2,-16.4,-2.5,10.4,-14
20/12/2016,3,5,1,1,0,6,94.6,77.4,104.4,77.3,84.5,99,0,0,0,-17.2,-19.9,-84.5,0,-10.1,-84.5,-17.3,21.7,-99,-17.2,27,-27.1,7.2,14.5,-99,0,0,270,265,270,265,265,270,270,NA,NA,43.4,31.4,31.8,61.2,52.9,47.7,NA,NA,NA,90.4,97.7,104.4,112.9,96.4,NA,NA,NA,NA,2,3,2,3,NA,-11.6,21.1,NA,NA,14,-8,NA,NA
28/12/2016,3,5,1,1,0,6,113.2,156.6,205.9,207.8,142.8,170.7,222.2,221.6,223.7,43.4,-63.1,79.4,2.1,29.6,80.9,94.6,-37.1,53,43.4,49.3,1.9,-65,27.9,51.5,-0.6,2.1,270,265,270,270,270,280,280,265,275,37.2,27.2,24.2,34.9,20.1,32.4,36.7,26.2,25.7,48.2,36.6,27.7,29.3,12.8,4.3,5.5,26.2,15.3,1,2,1,2,2,-13,-4.1,16.6,-11,-20.5,-14.9,-7.3,9.8
29/12/2016,15,3,1,1,0,0,85.3,136,146.8,170.7,180.6,158.4,162.3,138.7,149.7,50.7,33.8,-18.3,11,95.3,-30.9,85.4,-12.3,-8.7,50.7,10.8,23.9,9.9,-22.2,3.9,-23.6,11,290,285,270,270,NA,NA,NA,NA,NA,26.2,19.3,28.7,59.9,31.8,69,50.2,19.9,18.1,89.1,85.4,86.7,68.4,42.7,40.9,26.9,21.4,31.7,1,1,1,2,3,2.5,3.1,18.4,-32.1,-2.4,-44,-15.8,4.8
1/1/2017,12,5,1,1,0,15,203.1,207.8,224.4,198.4,209.3,160.2,135.2,194.9,0,4.7,-15.1,-74.1,-194.9,6.2,-209.3,-4.7,-38.2,-160.2,4.7,16.6,-26,10.9,-49.1,-25,59.7,-194.9,270,275,290,280,280,270,290,280,270,,,,,,,,,,29.1,19.5,8.6,30.5,28.7,39.7,37.3,61.7,75.1,1,2,1,2,3,0,0,0,0,-20.5,20.1,8.6,37.8
27/10/2013,18,5,1,1,0,15,85.2,130.9,131,159,112.5,104.9,143.1,143.5,140.5,45.8,-18.5,30.6,-2.6,27.3,28,73.8,-54.1,35.6,45.7,0.1,28,-46.5,-7.6,38.2,0.4,-3,275,275,270,275,280,280,280,275,275,,,,,,,,,,62.5,50,29.5,36.6,36.6,41.5,33.4,59.8,42.7,2,2,3,2,1,,,,,-33,7.1,-3.2,9.3
10/11/2013,6,3,1,1,1,15,62.7,153,182.7,159.4,170.4,198.2,235,169.7,163.2,120,-12.3,64.6,-71.8,107.7,-7.2,96.7,38.8,-35,90.3,29.7,-23.3,11,27.8,36.8,-65.3,-6.5,270,270,270,270,270,270,265,270,270,,,,,,,,,,86.7,79.4,92.8,74.5,78.1,83,87,67.1,64.8,1,1,2,1,2,,,,,6.1,-14.7,8.9,-22.2
18/11/2013,21,3,1,1,1,21,0,55,134.3,199.9,216.6,210.6,198.7,205.7,233.8,134.3,82.3,-17.9,35.1,216.6,17.2,199.9,10.7,23.2,55,79.3,65.6,16.7,-6,-11.9,7,28.1,270,265,260,255,255,255,260,255,260,,,,,,,,,,76.5,79.3,73.2,70.8,56.1,35.4,12.2,-12.2,0,1,1,1,2,1,,,,,-3.3,-17.1,-43.9,-12.2
10/12/2013,21,2,1,1,1,0,102.9,119.7,175.6,224.6,155.6,145.4,136.2,191.3,185,72.7,-20,-19.4,48.8,52.7,29.4,121.7,-79.2,39.6,16.8,55.9,49,-69,-10.2,-9.2,55.1,-6.3,270,270,270,265,265,265,265,265,270,,,,,,,,,,50.1,78.2,79.3,78,68.4,63.5,58.6,41.5,69.6,1,2,1,1,1,,,,,29.2,-10.9,-9.8,11
11/12/2013,21,2,1,1,1,0,182.7,193.4,260.2,255.2,276,295.4,261.7,213.4,262,77.5,15.8,-14.3,0.3,93.3,-14,72.5,40.2,-33.4,10.7,66.8,-5,20.8,19.4,-33.7,-48.3,48.6,260,260,260,265,265,270,270,275,275,,,,,,,,,,65.9,61,51.3,50,42.7,50,37.8,31.7,20.8,2,2,2,2,2,,,,,-14.6,-8.6,-4.9,-17
16/12/2013,0,2,1,1,1,0,68.2,103.2,122.4,121.8,64.8,104.4,101.9,151.5,136.8,54.2,-57.6,37.1,34.9,-3.4,72,53.6,-17.4,32.4,35,19.2,-0.6,-57,39.6,-2.5,49.6,-14.7,270,270,270,275,270,270,270,270,265,,,,,,,,,,61.5,64.7,43.7,59.8,50.5,62.3,73.2,73.1,76.2,1,2,1,1,1,,,,,-17.8,6.8,22.7,3
27/12/2013,12,3,1,1,1,12,112.4,100.6,116.2,81.6,88.7,85.8,114.5,88.5,142,3.8,-27.5,25.8,27.5,-23.7,53.3,-30.8,4.2,56.2,-11.8,15.6,-34.6,7.1,-2.9,28.7,-26,53.5,265,265,270,270,275,275,270,265,260,,,,,,,,,,79.4,69.6,74.5,79.7,89.1,96.2,94,118.4,112.3,2,3,1,2,2,,,,,-4.9,14.6,4.9,18.3
7/2/2014,6,5,1,1,1,9,80.1,83.3,83.5,88.8,99.8,82.6,114.4,118,130.7,3.4,16.3,14.6,16.3,19.7,30.9,8.7,-6.2,48.1,3.2,0.2,5.3,11,-17.2,31.8,3.6,12.7,260,260,260,265,260,260,260,260,265,,,,,,,,,,103.8,96.5,92.9,109.9,103.8,91.5,87.9,85.5,86.7,2,2,2,2,2,,,,,-10.9,10.9,-15.9,-1.2
9/2/2014,6,5,1,1,0,6,57.2,77.6,73.7,68.3,81.9,80,70.9,62.4,0,16.5,8.2,-11,-70.9,24.7,-81.9,11.1,11.7,-80,20.4,-3.9,-5.4,13.6,-1.9,-9.1,-8.5,-62.4,250,255,260,270,270,270,270,270,270,,,,,,,,,,59.6,51.3,47.3,56.1,47.2,56.1,68.4,50.2,75.1,1,2,1,2,3,,,,,-12.3,-0.1,21.2,6.7
15/2/2014,18,2,1,1,1,18,64.5,94.3,118.5,145.5,159.1,106.1,149.6,162.2,139.2,54,40.6,-9.5,-10.4,94.6,-19.9,81,-39.4,33.1,29.8,24.2,27,13.6,-53,43.5,12.6,-23,250,245,240,250,270,270,270,270,275,,,,,,,,,,53.7,52.6,72.1,45.1,7.4,NA,NA,NA,36.6,1,2,1,3,3,,,,,18.4,-64.7,NA,NA
25/11/2012,15,3,1,1,1,18,337.5,290.2,338.8,193.4,318.8,300,308.5,207.9,247.7,1.3,-20,-10.3,-60.8,-18.7,-71.1,-144.1,106.6,-52.3,-47.3,48.6,-145.4,125.4,-18.8,8.5,-100.6,39.8,280,280,280,280,280,280,280,280,275,,,,,,,,,,47.7,48.7,50.1,52.2,45.2,68.4,61,59.9,70.8,2,1,1,1,1,,,,,2.4,-4.9,15.8,9.8
